ASUID,DOB,asuriteUserID,password,firstName,lastName,middleName
1920275710,1995-12-19,liubenjamin,hXBUj84Z,Becky,Parker,Sherri
1340580601,2002-10-25,rosekimberly,T2QYH7DS,John,Merritt,Colleen
1701322888,1990-12-21,yjohnson,OYnbZoqW,Sherri,Anderson,Lori
1013457763,1993-05-08,richardsonthomas,XhZSyo^o,Jessica,Carpenter,Jordan
1022017127,2006-07-16,andreashah,r5J^Cp$e,Diana,Hudson,Kyle
1132809582,1983-02-10,melendezchristina,pJ#hz$*n,Virginia,Sanchez,Daniel
1309116767,2004-09-17,lindsaydiaz,Xv7QYPM6,Christopher,Heath,N/A
1121582651,1977-10-04,scott46,!z014H24,Bryce,Randall,Christopher
1842524563,2003-10-29,emay,K!fNb9QJ,Cynthia,Johnson,N/A
1534644354,1967-02-08,bauerdenise,pCZm&UmO,William,Coleman,Rodney
1472663594,1995-10-29,cruzcarolyn,qEc5GSsw,Alyssa,Webb,Christine
1947287219,1971-06-25,brendansmith,ikQhE#X#,Joan,Escobar,N/A
1280589391,1955-03-06,johngoodman,ibvF^GsI,Kylie,Kelley,N/A
1746881835,1957-02-17,coryli,YwOYabRy,Karl,Greer,Dennis
1405904288,1971-11-20,fisherpatricia,rOo9th12,Rebecca,Phillips,N/A
1240024044,1978-10-31,john39,UC94@5T7,Alexandria,Meyer,Leslie
1965810421,1967-02-13,kmack,QaksVfOi,Todd,Scott,Robert
1613477171,1962-11-23,davisgeorge,6FcS1DdD,Daniel,Walker,Maria
1747394756,1987-06-09,stacyhoward,BGm#VL7O,Evan,Henderson,Calvin
1482647691,1988-10-25,daviesmarcus,EuOK0WhX,Jason,Powers,Lauren
1943679101,1958-07-13,ariana16,K&0&fsZT,Crystal,Taylor,Joseph
1099551026,1998-06-01,thomas33,uRYHy3t5,Ashley,Mora,Debbie
1686948629,1993-04-23,christinagalvan,hoV@B2#V,Robert,Bass,Theresa
1931257019,2007-07-30,donaldburton,UEAW95vH,Michelle,Leonard,N/A
1568828363,1989-11-14,jonestimothy,CgUTkvQp,Judy,Curry,N/A
1939363342,1992-07-08,fjohnson,n7OaJBvG,Victoria,Wilson,N/A
1202609917,1983-11-06,elopez,5BLr9jSh,Heather,Stewart,Kimberly
1049162329,1962-08-29,bellmike,H$rPKuaZ,Lawrence,Bailey,Kayla
1851519573,1974-05-20,lesliereyes,oV$U@T^U,Greg,Anthony,Jennifer
1109034381,1962-01-29,malexander,jiS%mu@A,Bryan,Knox,Ronnie
1806054876,1994-05-16,kimberly62,Rod&pllr,Jared,Ayala,N/A
1378589250,1975-05-13,davisstephanie,qjOB9jFV,Daniel,Sanchez,N/A
1934684736,1963-11-13,mitchellchelsea,F55utzAA,Jaime,Collins,Gregory
1037478604,1979-09-01,mccallgeorge,3THY#mzv,Darlene,Shields,Michael
1294600347,2003-06-13,wmendoza,J%8HsAH0,Kevin,Mann,N/A
1756586659,1974-12-15,thomas83,TiQ1@KjL,Gina,Martinez,N/A
